Latitude,Longitude,Month,Day,Year,Time,Seconds,Unix_Time,Reliability,Mag_var
36.050721,-86.878813,3,28,2019,1803,54,1553814234,5,98
36.119449,-86.754195,3,28,2019,1816,34,1553814994,6,67
36.119664,-86.753534,3,28,2019,1806,40,1553814400,5,0
36.123695,-86.79444,3,28,2019,1756,25,1553813785,5,189
36.130199,-86.72682,3,28,2019,1809,36,1553814576,9,5
36.130586,-86.727205,3,28,2019,1815,21,1553814921,6,15
36.264157,-86.732329,3,28,2019,1758,52,1553813932,9,6
36.1217,-86.756045,3,28,2019,1819,19,1553815159,6,263
36.059963,-86.679855,3,28,2019,1801,58,1553814118,8,139
36.186147,-86.69091,3,28,2019,1755,14,1553813714,5,220
36.281358,-86.803916,3,28,2019,1759,30,1553813970,10,326
36.283467,-86.805559,3,28,2019,1802,13,1553814133,8,328
36.252068,-86.7398,3,28,2019,1800,15,1553814015,8,28
36.295238,-86.716591,3,28,2019,1815,23,1553814923,6,45
36.068501,-86.68842,3,28,2019,0950,40,1553784640,7,321
36.152041,-86.768048,3,28,2019,1109,51,1553789391,5,244
36.099793,-86.710938,3,28,2019,1109,17,1553789357,8,327
36.219017,-86.774925,3,28,2019,1101,42,1553788902,10,186
36.239731,-86.771783,3,27,2019,2234,01,1553744041,6,270
36.0389,-86.782825,3,28,2019,1222,52,1553793772,5,0
36.153579,-86.756466,3,28,2019,1205,38,1553792738,5,301
36.165333,-86.794505,3,28,2019,1214,17,1553793257,10,156
36.078251,-86.949827,3,28,2019,0650,21,1553773821,5,110
36.17651,-86.76902,3,28,2019,0638,26,1553773106,7,97
36.141768,-86.671741,3,28,2019,0628,07,1553772487,5,275
36.068492,-86.688661,3,28,2019,0844,44,1553780684,5,320
36.176373,-86.767475,3,28,2019,0832,01,1553779921,10,277
36.190717,-86.797298,3,28,2019,0852,42,1553781162,5,11
36.169168,-86.82116,3,28,2019,0840,52,1553780452,5,168
36.023058,-86.584406,3,28,2019,0833,49,1553780029,6,133
36.176397,-86.767746,3,28,2019,0841,26,1553780486,5,97
36.176423,-86.768043,3,28,2019,0844,15,1553780655,6,277
36.126939,-86.62968,3,28,2019,0855,53,1553781353,5,11
36.074168,-86.692612,3,28,2019,0850,09,1553781009,5,334
36.068118,-86.688027,3,28,2019,0834,35,1553780075,10,141
36.067511,-86.687403,3,28,2019,0834,55,1553780095,10,321
36.348316,-86.717281,3,28,2019,0840,35,1553780435,6,158
36.083972,-86.6984,3,28,2019,0748,31,1553777311,10,342
36.176373,-86.767475,3,28,2019,0832,01,1553779921,9,277
36.126538,-86.629785,3,28,2019,0823,49,1553779429,5,11
36.068118,-86.688027,3,28,2019,0834,35,1553780075,7,141
36.226535,-86.773989,3,28,2019,0810,29,1553778629,8,204
36.323654,-86.713448,3,28,2019,0615,20,1553771720,5,171
36.17651,-86.76902,3,28,2019,0638,26,1553773106,5,97
36.019364,-86.746097,3,28,2019,1742,53,1553812973,5,240
36.119195,-86.754965,3,28,2019,1737,38,1553812658,7,68
36.165176,-86.783472,3,28,2019,1717,38,1553811458,7,61
36.110937,-86.528212,3,28,2019,1722,58,1553811778,9,45
36.264157,-86.732329,3,28,2019,1758,52,1553813932,5,6
36.05076,-86.879177,3,28,2019,1720,00,1553811600,9,97
36.346938,-86.716591,3,28,2019,1748,04,1553813284,6,14
36.153984,-86.840481,3,28,2019,1730,51,1553812251,7,268
36.059963,-86.679855,3,28,2019,1801,58,1553814118,5,139
36.186493,-86.690556,3,28,2019,1727,38,1553812058,10,220
36.185623,-86.691456,3,28,2019,1736,45,1553812605,5,221
36.281358,-86.803916,3,28,2019,1759,30,1553813970,6,326
36.283467,-86.805559,3,28,2019,1802,13,1553814133,5,328
36.252068,-86.7398,3,28,2019,1800,15,1553814015,7,28
36.293829,-86.718362,3,28,2019,1744,49,1553813089,10,45
36.225141,-86.746035,3,28,2019,0306,38,1553760398,6,356
35.994998,-86.691942,3,27,2019,1952,52,1553734372,6,48
36.11912,-86.755199,3,28,2019,1656,41,1553810201,6,68
36.119011,-86.755549,3,28,2019,1701,32,1553810492,6,69
36.118987,-86.754604,3,28,2019,1711,51,1553811111,6,158
36.119245,-86.754812,3,28,2019,1712,31,1553811151,5,249
36.141716,-86.778688,3,28,2019,1704,53,1553810693,5,85
36.141932,-86.784072,3,28,2019,1710,27,1553811027,5,97
36.165176,-86.783472,3,28,2019,1717,38,1553811458,5,61
36.141736,-86.778919,3,28,2019,1646,13,1553809573,10,96
