"BLM","GPS Coordinate Latitude","GPS Coordinate Longitude","ID NUMBER","Date of Crash","Time of Crash"
2.413,36.06238,-86.9931,1900998001,4/28/2019 12:00:00 AM,1200
3.443,36.07264,-87.006,1900998001,4/13/2019 12:00:00 AM,0
4.765,36.08259,-87.02361,1900998001,4/11/2019 12:00:00 AM,700
2.205,36.09205,-86.83559,1901002001,3/1/2019 12:00:00 AM,1549
4.11,36.08927,-86.80181,1901002001,4/10/2019 12:00:00 AM,1858
4.736,36.0883,-86.79073,1901002001,3/23/2019 12:00:00 AM,1100
5.798,36.08658,-86.77197,1901002001,3/16/2019 12:00:00 AM,1952
0.072,36.16921,-86.60076,1901004001,4/5/2019 12:00:00 AM,1201
0.149,36.16821,-86.6001,1901004001,4/3/2019 12:00:00 AM,1626
0.483,36.16386,-86.59748,1901004001,4/10/2019 12:00:00 AM,810
0.194,36.21795,-86.59763,1901006001,3/20/2019 12:00:00 AM,1330
1.647,35.99191,-86.65483,1901008001,4/14/2019 12:00:00 AM,1310
4.958,36.01361,-86.62064,1901008001,4/9/2019 12:00:00 AM,820
0.278,36.07584,-86.63493,1901011001,3/20/2019 12:00:00 AM,1708
1.453,36.09049,-86.62628,1901011001,4/20/2019 12:00:00 AM,940
2.881,36.10986,-86.62984,1901011001,4/9/2019 12:00:00 AM,1640
3.38,36.11689,-86.63136,1901011001,3/21/2019 12:00:00 AM,719
3.762,36.12238,-86.63053,1901011001,3/4/2019 12:00:00 AM,1637
5.04,36.14044,-86.62816,1901011001,4/24/2019 12:00:00 AM,1448
6.387,36.15687,-86.61806,1901011001,3/6/2019 12:00:00 AM,613
0.559,36.27212,-86.68956,1901017001,4/20/2019 12:00:00 AM,1255
0.825,36.27592,-86.68957,1901017001,3/10/2019 12:00:00 AM,1901
2.106,36.29337,-86.69595,1901017001,3/6/2019 12:00:00 AM,1858
2.356,36.29624,-86.69865,1901017001,3/13/2019 12:00:00 AM,0
2.396,36.29673,-86.69903,1901017001,4/12/2019 12:00:00 AM,1440
3.063,36.30582,-86.70311,1901017001,4/19/2019 12:00:00 AM,1520
0.061,36.15308,-86.62521,1901395001,3/14/2019 12:00:00 AM,1309
0.126,36.15386,-86.62574,1901395001,4/18/2019 12:00:00 AM,1948
3.111,36.12534,-86.99798,1901937001,4/18/2019 12:00:00 AM,1840
1.636,36.18545,-86.60949,1901952001,3/1/2019 12:00:00 AM,1820
3.06,36.19973,-86.59221,1901952001,4/15/2019 12:00:00 AM,1846
3.07,36.19974,-86.59204,1901952001,3/9/2019 12:00:00 AM,1511
0.002,36.14686,-86.8086,1903242001,3/29/2019 12:00:00 AM,1210
0.059,36.14764,-86.80825,1903242001,3/20/2019 12:00:00 AM,1310
0.167,36.14881,-86.80688,1903242001,4/17/2019 12:00:00 AM,1230
0.435,36.15169,-86.80372,1903242001,3/23/2019 12:00:00 AM,45
1.494,36.15984,-86.78766,1903242001,3/29/2019 12:00:00 AM,1753
0.37,36.16249,-86.77782,1903243001,4/15/2019 12:00:00 AM,0
0.92,36.17173,-86.7647,1903244001,4/5/2019 12:00:00 AM,2145
1.384,36.16897,-86.77243,1903244001,3/22/2019 12:00:00 AM,1312
1.646,36.16731,-86.77653,1903244001,3/30/2019 12:00:00 AM,1950
0.114,36.15292,-86.78983,1903245001,3/24/2019 12:00:00 AM,1235
0.131,36.15279,-86.7901,1903245001,4/27/2019 12:00:00 AM,2245
0.141,36.15272,-86.79026,1903245001,3/3/2019 12:00:00 AM,238
0.553,36.14848,-86.79349,1903245001,3/27/2019 12:00:00 AM,1420
0.534,36.15752,-86.77235,1903246001,3/13/2019 12:00:00 AM,1243
0.648,36.15898,-86.77328,1903246001,3/31/2019 12:00:00 AM,440
0.814,36.16105,-86.77463,1903246001,3/24/2019 12:00:00 AM,30
0.161,36.15899,-86.77589,1903247001,4/19/2019 12:00:00 AM,2025
0.275,36.15743,-86.77488,1903247001,3/29/2019 12:00:00 AM,2117
0.349,36.15651,-86.77428,1903247001,3/4/2019 12:00:00 AM,1400
0.546,36.154,-86.77265,1903247001,3/9/2019 12:00:00 AM,2250
0.644,36.15274,-86.77183,1903247001,3/30/2019 12:00:00 AM,2120
5.768,36.11885,-86.7911,1903248001,3/21/2019 12:00:00 AM,1725
2.313,36.11401,-86.81151,1903250001,3/23/2019 12:00:00 AM,930
2.871,36.11319,-86.80169,1903250001,4/1/2019 12:00:00 AM,1758
3.626,36.11111,-86.78861,1903250001,4/26/2019 12:00:00 AM,1517
4.019,36.11022,-86.78172,1903250001,3/18/2019 12:00:00 AM,1159
0.078,36.20674,-86.79293,1903251001,3/30/2019 12:00:00 AM,1640
1.09,36.20615,-86.81077,1903251001,4/14/2019 12:00:00 AM,1734
1.949,36.20075,-86.8241,1903251001,4/5/2019 12:00:00 AM,724
2.183,36.19826,-86.82701,1903251001,4/1/2019 12:00:00 AM,1622
2.532,36.19422,-86.8307,1903251001,4/12/2019 12:00:00 AM,1635
2.55,36.19402,-86.83089,1903251001,3/5/2019 12:00:00 AM,800
2.566,36.19383,-86.83105,1903251001,3/1/2019 12:00:00 AM,640
0.247,36.17436,-86.76137,1903252001,3/12/2019 12:00:00 AM,1537
0.273,36.17453,-86.76094,1903252001,4/27/2019 12:00:00 AM,950
0.439,36.17557,-86.75824,1903252001,3/8/2019 12:00:00 AM,1930
0.491,36.17589,-86.7574,1903252001,3/8/2019 12:00:00 AM,1056
0.501,36.17595,-86.75724,1903252001,4/23/2019 12:00:00 AM,1350
0.758,36.17756,-86.75307,1903252001,3/15/2019 12:00:00 AM,1952
0.946,36.17922,-86.75038,1903252001,4/26/2019 12:00:00 AM,1615
1.146,36.18185,-86.74919,1903252001,3/14/2019 12:00:00 AM,1400
1.22,36.18282,-86.74879,1903252001,3/16/2019 12:00:00 AM,1318
1.237,36.18306,-86.74869,1903252001,4/23/2019 12:00:00 AM,0
1.327,36.18432,-86.74815,1903252001,3/19/2019 12:00:00 AM,1315
1.409,36.18543,-86.74767,1903252001,4/5/2019 12:00:00 AM,1335
1.425,36.18565,-86.74757,1903252001,3/30/2019 12:00:00 AM,1925
1.556,36.18741,-86.74678,1903252001,3/20/2019 12:00:00 AM,1750
1.593,36.18792,-86.74656,1903252001,4/10/2019 12:00:00 AM,1725
1.671,36.18898,-86.74609,1903252001,4/26/2019 12:00:00 AM,2212
1.688,36.18922,-86.74598,1903252001,4/7/2019 12:00:00 AM,1235
1.804,36.19079,-86.74529,1903252001,4/2/2019 12:00:00 AM,0
2.483,36.19979,-86.74057,1903252001,4/17/2019 12:00:00 AM,1229
2.584,36.20114,-86.73984,1903252001,4/20/2019 12:00:00 AM,1046
2.638,36.20187,-86.73945,1903252001,3/7/2019 12:00:00 AM,1055
2.648,36.202,-86.73939,1903252001,4/20/2019 12:00:00 AM,2015
2.733,36.20311,-86.73877,1903252001,3/29/2019 12:00:00 AM,2307
2.78,36.20375,-86.73842,1903252001,4/17/2019 12:00:00 AM,1812
3.039,36.20698,-86.7361,1903252001,4/19/2019 12:00:00 AM,1635
3.566,36.21363,-86.73116,1903252001,4/17/2019 12:00:00 AM,1608
3.857,36.21729,-86.72871,1903252001,4/5/2019 12:00:00 AM,2108
4.226,36.22214,-86.72611,1903252001,3/23/2019 12:00:00 AM,1348
0.525,36.20525,-86.75928,1903253001,4/27/2019 12:00:00 AM,1845
0.722,36.20499,-86.75576,1903253001,3/28/2019 12:00:00 AM,1330
0.851,36.20482,-86.75347,1903253001,4/4/2019 12:00:00 AM,757
0.865,36.20481,-86.75322,1903253001,4/15/2019 12:00:00 AM,1718
1.638,36.20368,-86.73955,1903253001,4/22/2019 12:00:00 AM,1935
0.074,36.15273,-86.84224,1903255001,3/9/2019 12:00:00 AM,925
0.72,36.14462,-86.81651,1903256001,4/7/2019 12:00:00 AM,1950
0.876,36.14259,-86.8155,1903256001,3/18/2019 12:00:00 AM,2159
1.069,36.14026,-86.8137,1903256001,3/26/2019 12:00:00 AM,1545
2.062,36.13718,-86.79695,1903256001,4/10/2019 12:00:00 AM,755
2.244,36.13622,-86.79396,1903256001,4/24/2019 12:00:00 AM,1135
2.985,36.13438,-86.78131,1903256001,3/17/2019 12:00:00 AM,1810
3.034,36.13428,-86.78047,1903256001,3/19/2019 12:00:00 AM,1043
3.086,36.13428,-86.7795,1903256001,4/9/2019 12:00:00 AM,1757
3.254,36.13424,-86.77645,1903256001,3/10/2019 12:00:00 AM,1643
3.88,36.13295,-86.7655,1903256001,3/21/2019 12:00:00 AM,1442
0.094,36.17302,-86.82401,1903257001,4/22/2019 12:00:00 AM,2020
2.076,36.16439,-86.85267,1903257001,3/13/2019 12:00:00 AM,1309
2.97,36.17173,-86.86497,1903257001,3/4/2019 12:00:00 AM,1142
0.064,36.17684,-86.77209,1903258001,4/5/2019 12:00:00 AM,1945
0.075,36.17673,-86.77231,1903258001,3/1/2019 12:00:00 AM,2138
0.191,36.1769,-86.77445,1903258001,3/22/2019 12:00:00 AM,1915
0.311,36.17685,-86.77649,1903258001,3/8/2019 12:00:00 AM,1433
0.372,36.17665,-86.77752,1903258001,4/5/2019 12:00:00 AM,2050
0.378,36.17663,-86.77762,1903258001,4/6/2019 12:00:00 AM,2147
0.461,36.17632,-86.779,1903258001,3/30/2019 12:00:00 AM,1400
1.115,36.17357,-86.79009,1903258001,4/5/2019 12:00:00 AM,2055
1.121,36.17355,-86.79018,1903258001,3/25/2019 12:00:00 AM,2225
1.388,36.17242,-86.79481,1903258001,3/26/2019 12:00:00 AM,1420
1.636,36.17139,-86.79901,1903258001,3/20/2019 12:00:00 AM,1400
1.761,36.17084,-86.80115,1903258001,3/26/2019 12:00:00 AM,1644
1.819,36.17059,-86.80214,1903258001,3/22/2019 12:00:00 AM,1448
2.011,36.16977,-86.80543,1903258001,4/28/2019 12:00:00 AM,2200
2.047,36.16961,-86.80604,1903258001,3/25/2019 12:00:00 AM,2115
2.071,36.16951,-86.80646,1903258001,4/14/2019 12:00:00 AM,1600
2.115,36.16939,-86.80724,1903258001,4/3/2019 12:00:00 AM,1850
2.851,36.16772,-86.82022,1903258001,4/2/2019 12:00:00 AM,1740
0.289,36.15306,-86.80314,1903264001,4/9/2019 12:00:00 AM,1215
0.297,36.17714,-86.77456,1903266001,3/15/2019 12:00:00 AM,1756
0.637,36.17226,-86.7738,1903266001,3/22/2019 12:00:00 AM,729
0.258,36.19569,-86.77666,1903267001,3/27/2019 12:00:00 AM,1937
0.026,36.20701,-86.77786,1903268001,3/17/2019 12:00:00 AM,1645
0.162,36.20891,-86.77789,1903268001,4/1/2019 12:00:00 AM,747
1.154,36.22257,-86.78238,1903268001,4/19/2019 12:00:00 AM,1610
1.822,36.23219,-86.78147,1903268001,3/5/2019 12:00:00 AM,1726
0.118,36.17135,-86.76447,1903272001,4/10/2019 12:00:00 AM,1003
0.235,36.16985,-86.76351,1903272001,4/18/2019 12:00:00 AM,2045
0.806,36.16242,-86.7593,1903272001,4/12/2019 12:00:00 AM,1850
2.129,36.17083,-86.7468,1903272001,3/23/2019 12:00:00 AM,0
0.125,36.15498,-86.78644,1903273001,3/8/2019 12:00:00 AM,1117
0.092,36.18916,-86.60718,1903287001,3/1/2019 12:00:00 AM,1038
0.607,36.1962,-86.60851,1903287001,4/24/2019 12:00:00 AM,1830
0.687,36.19736,-86.60857,1903287001,3/30/2019 12:00:00 AM,1910
1.046,36.20238,-86.60714,1903287001,4/23/2019 12:00:00 AM,1415
0.526,36.0207,-86.74249,1903289001,4/7/2019 12:00:00 AM,1139
1.314,36.0317,-86.74385,1903289001,4/30/2019 12:00:00 AM,1745
1.398,36.03294,-86.74369,1903289001,4/12/2019 12:00:00 AM,955
1.646,36.0366,-86.74349,1903289001,4/17/2019 12:00:00 AM,1758
2.016,36.04196,-86.74394,1903289001,3/12/2019 12:00:00 AM,715
3.824,36.06737,-86.7375,1903289001,4/7/2019 12:00:00 AM,0
4.147,36.07093,-86.73392,1903289001,4/26/2019 12:00:00 AM,1905
4.25,36.07205,-86.73295,1903289001,4/9/2019 12:00:00 AM,1600
4.299,36.07284,-86.73249,1903289001,3/26/2019 12:00:00 AM,0
4.754,36.07678,-86.72629,1903289001,4/1/2019 12:00:00 AM,1718
7.071,36.08741,-86.7117,1903289001,4/5/2019 12:00:00 AM,645
7.51,36.08952,-86.71881,1903289001,4/12/2019 12:00:00 AM,654
