grid,date,hod,freq
"(0, 21)",2_16_2019,10:00,1
"(0, 21)",3_26_2019,19:00,4
"(0, 25)",2_18_2019,9:30,1
"(0, 25)",3_12_2019,9:00,1
"(0, 25)",8_1_2019,0:00,2
"(1, 19)",5_5_2019,9:30,1
"(1, 20)",3_19_2019,19:30,1
"(1, 20)",3_19_2019,7:00,3
"(1, 20)",3_27_2019,19:00,6
"(1, 20)",3_27_2019,20:00,2
"(1, 20)",3_27_2019,20:30,3
"(1, 20)",3_28_2019,8:00,2
"(1, 20)",4_4_2019,18:30,1
"(1, 20)",4_5_2019,15:00,2
"(1, 20)",4_5_2019,17:00,5
"(1, 20)",5_10_2019,16:00,4
"(1, 20)",5_15_2019,19:30,1
"(1, 20)",5_15_2019,9:00,1
"(1, 20)",5_20_2019,8:30,2
"(1, 20)",5_25_2019,13:30,10
"(1, 20)",5_25_2019,14:00,1
"(1, 20)",5_29_2019,9:30,1
"(1, 20)",5_30_2019,11:00,2
"(1, 20)",5_30_2019,11:30,3
"(1, 20)",5_30_2019,9:30,4
"(1, 20)",6_27_2019,18:30,1
"(1, 20)",6_9_2019,18:30,1
"(1, 20)",7_10_2019,17:30,1
"(1, 20)",7_12_2019,15:00,5
"(1, 20)",7_12_2019,16:30,6
"(1, 20)",7_19_2019,13:30,3
"(1, 20)",7_22_2019,17:30,6
"(1, 20)",7_22_2019,18:00,1
"(1, 20)",7_22_2019,18:30,8
"(1, 20)",7_3_2019,6:00,1
"(1, 20)",7_9_2019,10:00,3
"(1, 20)",7_9_2019,12:30,1
"(1, 21)",5_29_2019,19:00,2
"(1, 21)",6_2_2019,9:00,1
"(1, 21)",6_7_2019,16:00,4
"(1, 21)",6_7_2019,16:30,4
"(1, 22)",2_25_2019,4:30,1
"(1, 22)",2_25_2019,7:00,4
"(1, 22)",3_30_2019,21:30,1
"(1, 22)",3_30_2019,23:30,2
"(1, 22)",4_14_2019,14:30,3
"(1, 22)",4_14_2019,15:00,4
"(1, 22)",4_14_2019,15:30,3
"(1, 23)",4_6_2019,23:00,2
"(1, 23)",5_3_2019,8:30,7
"(1, 23)",5_3_2019,9:30,9
"(1, 23)",5_9_2019,10:30,2
"(1, 24)",2_23_2019,10:30,1
"(1, 24)",5_19_2019,9:00,2
"(1, 24)",5_3_2019,8:00,5
"(1, 24)",7_31_2019,23:00,5
"(1, 24)",7_31_2019,23:30,3
"(1, 24)",8_1_2019,0:30,2
"(1, 25)",2_20_2019,6:00,3
"(1, 25)",2_20_2019,6:30,2
"(1, 25)",2_20_2019,7:30,7
"(1, 25)",2_21_2019,5:30,1
"(1, 25)",2_23_2019,13:30,4
"(1, 25)",3_13_2019,17:30,2
"(1, 25)",3_15_2019,23:30,1
"(1, 25)",3_19_2019,12:00,2
"(1, 25)",3_19_2019,12:30,13
"(1, 25)",3_21_2019,18:30,1
"(1, 25)",3_21_2019,19:00,2
"(1, 25)",3_26_2019,18:00,2
